term,definition,tags,domain,link
Abstraction Attack,An adversarial technique that exploits the gap between a model's learned abstractions and real-world inputs by crafting examples that match abstract features while differing perceptually. Related to concept-level adversarial manipulation.,Safety;Technical,safety,
Access Control for AI Systems,Mechanisms and policies that restrict who can deploy query or modify AI systems. Includes authentication authorization and audit logging to prevent unauthorized use of powerful models.,Safety;Governance,safety,
Accountability Gap,The problem that arises when no single party can be held responsible for harm caused by AI systems due to complex supply chains and distributed decision-making across developers deployers and users.,Safety;Governance,safety,
Active Inference Safety,Research into making active inference agents safe by ensuring their generative models and prior preferences are aligned with human values. Draws from the free energy principle in neuroscience.,Safety;Technical,safety,
Adaptive Stress Testing,A technique that uses reinforcement learning to find the most likely failure scenarios for autonomous systems. Developed at Stanford to identify edge cases in safety-critical AI applications.,Safety;Technical,safety,
Addictive Design in AI,The use of AI-driven personalization and engagement optimization techniques that exploit psychological vulnerabilities to maximize user screen time or spending. Raises ethical concerns about autonomy and wellbeing.,Safety;Ethics,safety,
Adversarial Example,A carefully crafted input designed to cause a machine learning model to make an incorrect prediction or classification while appearing normal to human observers. First demonstrated by Szegedy et al. in 2013.,Safety;Technical,safety,
Adversarial Machine Learning,The study of attacks on machine learning systems and defenses against them. Encompasses evasion attacks poisoning attacks model stealing and privacy attacks as well as certified robustness methods.,Safety;Technical,safety,
Adversarial Patch,A physical-world adversarial attack that uses a printed patch to fool image classifiers or object detectors. Unlike pixel-level perturbations patches are robust to changes in viewing angle and distance.,Safety;Technical,safety,
Adversarial Robustness,The ability of a machine learning model to maintain correct predictions when inputs are deliberately perturbed by an adversary. Measured using attack success rates under various threat models and perturbation budgets.,Safety;Technical,safety,
Adversarial Training,A defense technique that augments training data with adversarial examples to improve model robustness. Originally proposed by Goodfellow et al. in 2014 as a min-max optimization between the attacker and model.,Safety;Technical,safety,
Age Verification in AI,Technical and policy mechanisms to verify user age before granting access to AI systems that may be inappropriate for minors. Raises tensions between child safety and privacy concerns.,Safety;Policy,safety,
Agent Safety,The study of ensuring autonomous AI agents that take actions in the real world do so safely. Covers problems like safe exploration reward hacking side effects and interruptibility.,Safety;Technical,safety,
Aggregate Ethics,An approach to AI ethics that considers the cumulative societal impact of many individually harmless AI decisions rather than focusing only on dramatic individual harms. Important for understanding systemic effects.,Safety;Ethics,safety,
AI Assurance,Processes and evidence that demonstrate an AI system meets its specified requirements for safety security and performance. Analogous to software assurance but extended for ML-specific properties like fairness and robustness.,Safety;Governance,safety,
AI Audit,A systematic evaluation of an AI system to assess compliance with regulations ethical guidelines and performance standards. May include technical testing documentation review and stakeholder consultation.,Safety;Governance,safety,
AI Bounty Program,A program that rewards external researchers for identifying vulnerabilities biases or safety issues in AI systems. Modeled on cybersecurity bug bounties and adopted by organizations like OpenAI and Google DeepMind.,Safety;Governance,safety,
AI Carbon Footprint,The environmental impact of training and running AI models measured in carbon dioxide equivalent emissions. Large language model training can emit hundreds of tons of CO2 raising sustainability concerns.,Safety;Ethics,safety,
AI Certification,Formal processes by which an independent body assesses and certifies that an AI system meets specified safety performance and ethical standards. Emerging in regulated sectors like healthcare aviation and automotive.,Safety;Governance,safety,
AI Compliance,The practice of ensuring AI systems conform to applicable laws regulations industry standards and organizational policies. Includes documentation impact assessments and ongoing monitoring requirements.,Safety;Governance,safety,
AI Content Detection,Tools and techniques for identifying whether text images or other media were generated by AI systems. Uses statistical analysis watermarking and trained classifiers to distinguish human from machine output.,Safety;Technical,safety,
AI Decolonization,A movement to challenge Western-centric assumptions in AI development and deployment. Advocates for including diverse cultural perspectives addressing power imbalances and preventing technological neo-colonialism.,Safety;Ethics,safety,
AI Democratization Risks,The potential dangers of making powerful AI capabilities widely accessible without adequate safety measures. Includes dual-use concerns proliferation risks and the challenge of preventing misuse at scale.,Safety;Policy,safety,
